"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"DIGIKEY";"DIGIKEY_COST";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";".1";"R-US_R1206";"R1206";"R2";"RESISTOR, American symbol";"";"A103268CT-ND";".13";"";"";"";"";"";"";
"1";".1u";"C-USC0805";"C0805";"C2";"CAPACITOR, American symbol";"";"445-7534-1-ND";".10";"";"";"";"";"";"";
"1";"100u";"AVE107M25X16T-F";"CDE-AVE-X";"C1";"";"";"338-1805-1-ND";".21";"";"";"";"";"";"";
"1";"10k";"R-US_R1206";"R1206";"R1";"RESISTOR, American symbol";"";"RMCF1206JT10K0CT-ND";".05";"";"";"";"";"";"";
"1";"10n";"C-USC0603";"C0603";"C3";"CAPACITOR, American symbol";"";"445-1311-1-ND";".10";"";"";"";"";"";"";
"1";"1K";"R-US_R0603";"R0603";"R3";"RESISTOR, American symbol";"";"RMCF0603JT1K00CT-ND";".02";"";"";"";"";"";"";
"1";"28.7K";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";"RMCF0603FT28R7CT-ND";".04";"";"";"";"";"";"";
"1";"300";"R-US_R1206";"R1206";"R5";"RESISTOR, American symbol";"";"RMCF1206JT300RCT-ND";".05";"";"";"";"";"";"";
"1";"910";"R-US_R1206";"R1206";"R4";"RESISTOR, American symbol";"";"RMCF1206JT910RCT-ND";".05";"";"";"";"";"";"";
"1";"ATTINY5-TSHR";"ATTINY5-TSHR";"SOT95P280X145-6N";"U2";"Microcontroller";"Microcontroller";"ATTINY10-TSHRCT-ND";".69";"";"ATTINY5-TSHR";"1841626";"12T1342";"SOT563-6";"ATMEL";
"1";"BSP100";"BSP100";"SOT223";"Q1";"";"";"568-6956-1-ND";".69";"";"";"";"";"";"";
"1";"CD1206-B260";"CD1206-B260";"D1206";"D1";"CD1206-B260 Schottky Diode 60V 2A 1206";"";"CD1206-B260CT-ND";".49";"";"";"";"";"";"";
"1";"DIODES";"MPT2";"2POL254";"X1";"PHOENIX CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"INPUT";"MPT3";"3POL254";"X2";"PHOENIX CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";
"1";"MCP6001";"MCP6001";"SOT23-5";"U3";"";"";"MCP6001T-I/OTCT-ND";".29";"";"";"";"";"";"";
"1";"SPX5205M5-L-3-3";"SPX5205M5-L-3-3";"SOT95P280X145-5N";"U1";"150mA, LOW-NOISE LDO VOLTAGE REGULATOR";"";"1016-1251-ND";".60";"";"SPX5205M5-L-3-3";"1831954";"23R9851";"SOT-23-5";"EXAR";
"1";"SRN8040";"SRN8040";"SRN8040";"L1";"";"";"SRN8040-101MCT-ND";".54";"";"";"";"";"";"";
"5";"TPI";"TPI";"TPI_PAD";"+5V, GND, RESET, TPICLK, TPIDATA";"";"";"";"";"";"";"";"";"";"";
